issuekey,title,description,storypoint
USERGRID-316,usergrid launcher throws exception initialize database unchecked,run launcher check initialize database start button first time start server launcher exit error message like error poolthread orgapachecassandraconfigdatabasedescriptor fatal configuration error orgapachecassandraexceptionsconfigurationexception cannot locate filetmpcassandrayaml orgapachecassandraconfigdatabasedescriptorgetstorageconfigurldatabasedescriptorjava orgapachecassandraconfigdatabasedescriptorloadyamldatabasedescriptorjava orgapachecassandraconfigdatabasedescriptorclinitdatabasedescriptorjava orgapachecassandraservicecassandradaemonsetupcassandradaemonjava orgapachecassandraservicecassandradaemonactivatecassandradaemonjava orgapacheusergridlauncherembeddedserverhelpercassandrarunnerrunembeddedserverhelperjava javautilconcurrentthreadpoolexecutorrunworkerthreadpoolexecutorjava javautilconcurrentthreadpoolexecutorworkerrunthreadpoolexecutorjava javalangthreadrunthreadjava,3
USERGRID-324,spike prototype distributed realtime parallel processing systems,need system allow build distributedparallel data process flows ultimately system must following requirements component level software requirements work well within reactivestreams logic allow easy operationalization additional external systems required allow failover node failure automatic recovery processing stoprestart failure resume additional state administration need built distributed futures inherent part framework examples following migrations importexport distributed indexing heavily connected entities post processing deletes collection deletes application deletes following requirements define deployment topology limit number sub processesworkers workflow ability reject requests capacity preferably introduce another dependency like zookeeper deploy stack war file easy intuitive interface programming flows work single node clustered environment administrative status giving ability poll operational status via rest automated monitoring examples guaranteed post processing write occurs written cassandra post processing message triggered message must persistent allow recovery complete failure capacity post processing system reject request via back pressure post processing return future similar could blocked caller chooses http call returned user post process indexing occurs asynchronously reindex entities system launch root process process emits application ids within system child processes receive application app create index elastic search emit collections child processes receive collections app ids collection emit entity child process receives app collection entity get edges reindex documents within elastic search delete collection realtime update collection alias point new internal collection name fire delete collection task job process launch root process load previous collection name emit child tasks child task remove every entity previous type elastic search using bulk delete empty child task iterate every entity remove cassandra well graph edge,8
USERGRID-338,fix ownershipresourceit,failing contextualconnectionownership test everytime others pass,1
USERGRID-350,cannot build android sdk,cannot build android sdk usergrid printouts buildsdkzipsh modified options added mvn clean install ubuntuubuntuvirtualboxdownloadsincubatorusergridmastersdksandroid buildreleasezipsh info error stacktraces turned info scanning projects downloading error build could read project help orgapachemavenprojectprojectbuildingexception problems encountered processing poms fatal nonresolvable parent pom could find artifact orgapacheusergridusergridpom central parentrelativepath points wrong local pom line column orgapachemavenprojectdefaultprojectbuilderbuilddefaultprojectbuilderjava orgapachemavendefaultmavencollectprojectsdefaultmavenjava orgapachemavendefaultmavengetprojectsformavenreactordefaultmavenjava orgapachemavendefaultmavendoexecutedefaultmavenjava orgapachemavendefaultmavenexecutedefaultmavenjava orgapachemavenclimavencliexecutemavenclijava orgapachemavenclimavenclidomainmavenclijava orgapachemavenclimavenclimainmavenclijava sunreflectnativemethodaccessorimplinvokenative method sunreflectnativemethodaccessorimplinvokenativemethodaccessorimpljava sunreflectdelegatingmethodaccessorimplinvokedelegatingmethodaccessorimpljava javalangreflectmethodinvokemethodjava orgcodehausplexusclassworldslauncherlauncherlaunchenhancedlauncherjava orgcodehausplexusclassworldslauncherlauncherlaunchlauncherjava orgcodehausplexusclassworldslauncherlaunchermainwithexitcodelauncherjava orgcodehausplexusclassworldslauncherlaunchermainlauncherjava error error project orgapacheusergridusergridandroid homeubuntudownloadsincubatorusergridmastersdksandroidpomxml error error nonresolvable parent pom could find artifact orgapacheusergridusergridpom central parentrelativepath points wrong local pom line column help orgapachemavenmodelresolutionunresolvablemodelexception could find artifact orgapacheusergridusergridpom central orgapachemavenprojectprojectmodelresolverresolvemodelprojectmodelresolverjava orgapachemavenmodelbuildingdefaultmodelbuilderreadparentexternallydefaultmodelbuilderjava orgapachemavenmodelbuildingdefaultmodelbuilderreadparentdefaultmodelbuilderjava orgapachemavenmodelbuildingdefaultmodelbuilderbuilddefaultmodelbuilderjava orgapachemavenprojectdefaultprojectbuilderbuilddefaultprojectbuilderjava orgapachemavenprojectdefaultprojectbuilderbuilddefaultprojectbuilderjava orgapachemavenprojectdefaultprojectbuilderbuilddefaultprojectbuilderjava orgapachemavendefaultmavencollectprojectsdefaultmavenjava orgapachemavendefaultmavengetprojectsformavenreactordefaultmavenjava orgapachemavendefaultmavendoexecutedefaultmavenjava orgapachemavendefaultmavenexecutedefaultmavenjava orgapachemavenclimavencliexecutemavenclijava orgapachemavenclimavenclidomainmavenclijava orgapachemavenclimavenclimainmavenclijava sunreflectnativemethodaccessorimplinvokenative method sunreflectnativemethodaccessorimplinvokenativemethodaccessorimpljava sunreflectdelegatingmethodaccessorimplinvokedelegatingmethodaccessorimpljava javalangreflectmethodinvokemethodjava orgcodehausplexusclassworldslauncherlauncherlaunchenhancedlauncherjava orgcodehausplexusclassworldslauncherlauncherlaunchlauncherjava orgcodehausplexusclassworldslauncherlaunchermainwithexitcodelauncherjava orgcodehausplexusclassworldslauncherlaunchermainlauncherjava caused orgeclipseaetherresolutionartifactresolutionexception could find artifact orgapacheusergridusergridpom central orgeclipseaetherinternalimpldefaultartifactresolverresolvedefaultartifactresolverjava orgeclipseaetherinternalimpldefaultartifactresolverresolveartifactsdefaultartifactresolverjava orgeclipseaetherinternalimpldefaultartifactresolverresolveartifactdefaultartifactresolverjava orgeclipseaetherinternalimpldefaultrepositorysystemresolveartifactdefaultrepositorysystemjava orgapachemavenprojectprojectmodelresolverresolvemodelprojectmodelresolverjava caused orgeclipseaethertransferartifactnotfoundexception could find artifact orgapacheusergridusergridpom central orgeclipseaetherconnectorwagonwagonrepositoryconnectorwrapwagonrepositoryconnectorjava orgeclipseaetherconnectorwagonwagonrepositoryconnectorwrapwagonrepositoryconnectorjava orgeclipseaetherconnectorwagonwagonrepositoryconnectorgettaskrunwagonrepositoryconnectorjava orgeclipseaetherutilconcurrencyrunnableerrorforwarderrunrunnableerrorforwarderjava javautilconcurrentthreadpoolexecutorrunworkerthreadpoolexecutorjava javautilconcurrentthreadpoolexecutorworkerrunthreadpoolexecutorjava javalangthreadrunthreadjava error error rerun maven using switch enable full debug logging error error information errors possible solutions please read following articles error help error help ubuntuubuntuvirtualboxdownloadsincubatorusergridmastersdksandroid,3
USERGRID-371,ensure services use amazon keys using identifier amazon keys,currently way notifications looks access secret keys different way export import services look keys needs changed look name keys,3
USERGRID-372,usergrid ignores http headers,want make sure dont override changes accident want use ifunmodifiedsince http header expect server give precondition failed error data changed meantime however nothings happens data always overridden way detect changes even check writing could cause data loss fixed imho also ifmodifiedsince http header would great know cql response faster detect empty result body,3
USERGRID-379,sqs queuemanager implementation,usergrid queuemanager pluggable would like add sqs implementation,1
USERGRID-380,cannot delete data non admin role,collection contains data cannot deleted regular user setup set permissions getputpostdeleteusersuser deleteusersuserenteredday insert post orgappusersfoobarenteredday value delete delete orgappusersfoobarentereddayuuid postputget data belong current user cannot delete data admin role works fine think bug please check,3
USERGRID-382,clean migration code move core,refactor data migrations move core core persistence entity storage,3
USERGRID-383,create service integration tests import,create service integration tests error checking send bad data check http status codes check exception codes,5
USERGRID-384,get import work distributed system,write code tests test distributed system,3
USERGRID-387,migrate import service tests rest tests better emulate end end testing,migrate relevant importcollectionit importserviceit tests rest tier better end end coverage system integration tests service tier means still room error back rest tier,3
USERGRID-388,fix import resource endpoint use services lookup import information,possible perform standard collectionconnection walking orgappimport endpoints fix using overridden services,3
USERGRID-390,issues paging query system need addressed meaningful changes,recently discovered bug searching connections uncovered incomplete code reducer currently mixing impl removing old unused code well refactoring code easier maintain,8
USERGRID-395,reset superuser password create flag set superuser access usergrid instances,superuser endpoint works system access token problem accessed system access token thus start tomcat want flag set superuser access also fix tools use superuser admin tool command line,5
USERGRID-396,create uniqueindexcleanup tool works,current instance tools dont work correctly restful endpoint trigged put something like endpoint check unique values across entire system put systemdatabaseunqiuecheck check unique values across single applications put systemdatabaseuniquecheckappid check unique values single collection put systemdatabaseuniquecheckappidcollectionname check specific unique value collection put systemdatabaseuniquecheckappidcollectionnameunique value unique check need audit unique index ensure unique value exists entity specified entity exist removed think implement specific property cleanup first implement operations input observables,3
USERGRID-403,spike migrate counters hector astyanax,need migrate counters hector reliable counter framework may initially moving hector client astyanax migrating something else later ticket,3
USERGRID-405,fix hotspot continuous writes entities shawn,currently performing continuous put heavy load causes hotspot cassandra data cause load entities put continuously asynchronous cleanups run delete previous versions versions retained cassandra long periods time causes severe row bloating compaction occurs solution entity data care current max version change column family store maximum data format need keep log previous versions bring consistent state,1
USERGRID-406,http post entity fails heavy load,running heavy sometimes see exception new entity created http post problem seems write entity addtocollection validate entity read entity ready read yet read fails instead rereading entity pass entity created addtocollection validate methods need read entity processing request created javalangnullpointerexception orgapacheusergridcorepersistencecpentitymanagervalidatecpentitymanagerjava orgapacheusergridcorepersistencecpentitymanagervalidatecpentitymanagerjava orgapacheusergridcorepersistencecpentitymanagergetdictionaryasmapcpentitymanagerjava orgapacheusergridcorepersistencecpentitymanagergetdictionaryassetcpentitymanagerjava orgapacheusergridservicesabstractservicegetconnectingtypessetabstractservicejava orgapacheusergridservicesabstractserviceimportentityabstractservicejava orgapacheusergridservicesabstractserviceimportentityabstractservicejava orgapacheusergridservicesabstractcollectionservicepostcollectionabstractcollectionservicejava orgapacheusergridservicesabstractserviceinvokecollectionabstractservicejava orgapacheusergridservicesabstractserviceinvokeabstractservicejava orgapacheusergridservicesabstractserviceinvokeabstractservicejava orgapacheusergridservicesservicerequestexecuteservicerequestjava orgapacheusergridservicesservicerequestexecuteservicerequestjava orgapacheusergridrestapplicationsserviceresourceexecuteservicerequestserviceresourcejava orgapacheusergridrestapplicationsserviceresourceexecutepostserviceresourcejava sunreflectgeneratedmethodaccessorinvokeunknown source sunreflectdelegatingmethodaccessorimplinvokedelegatingmethodaccessorimpljava javalangreflectmethodinvokemethodjava comsunjerseyspicontainerjavamethodinvokerfactoryinvokejavamethodinvokerfactoryjava,3
USERGRID-409,enable system properties customizable keyspaces,keyspaces customizable usergrid system need implement ability set keyspace based system properties well current defaults implement following way add properties cassandra fig create new fig configuration add fig injector reference injector fig current entitymanager cassandraservice setup classes,3
